Price,Adj Close,Close,High,Low,Open,Volume
Ticker,^NDX,^NDX,^NDX,^NDX,^NDX,^NDX
Date,,,,,,
1986-10-06,139.1150055,139.1150055,139.1900024,138.3899994,138.6549988,150900000
1986-10-07,138.2550049,138.2550049,139.2449951,137.9100037,139.1150055,172160000
1986-10-08,139.2649994,139.2649994,139.3300018,137.5449982,138.2550049,180080000
1986-10-09,139.1649933,139.1649933,140.1450043,139.0299988,139.2449951,187760000
1986-10-10,139.8699951,139.8699951,140.2149963,138.7599945,139.1649933,167180000
1986-10-13,140.6750031,140.6750031,140.7149963,139.625,139.8699951,91060000
1986-10-14,140.9649963,140.9649963,141.6000061,140.6600037,140.6750031,184480000
1986-10-15,142.1000061,142.1000061,142.2200012,140.7550049,140.9649963,206000000
1986-10-16,141.8999939,141.8999939,142.4799957,141.7649994,142.1000061,127660000
1986-10-17,141.1950073,141.1950073,142.0950012,140.9049988,141.8849945,183960000
1986-10-20,140.1000061,140.1000061,141.2299957,139.4900055,141.1950073,156920000
1986-10-21,139.9250031,139.9250031,140.4700012,139.3800049,140.1000061,177100000
1986-10-22,140.3000031,140.3000031,140.5899963,139.8999939,139.9250031,196220000
1986-10-23,142.1499939,142.1499939,142.3999939,140.2299957,140.3000031,246400000
1986-10-24,141.9649963,141.9649963,142.75,141.6450043,142.1499939,229000000
1986-10-27,141.7599945,141.7599945,142.2550049,141.2599945,141.9649963,187820000
1986-10-28,142.4949951,142.4949951,142.9049988,141.6849976,141.7599945,204800000
1986-10-29,143.1300049,143.1300049,143.2799988,142.1150055,142.4949951,212200000
1986-10-30,144.7799988,144.7799988,145.1799927,143.1300049,143.1300049,247000000
1986-10-31,144.4799957,144.4799957,145.1799927,143.7899933,144.7799988,213400000
1986-11-03,144.8099976,144.8099976,144.9700012,144.1199951,144.4799957,222400000
1986-11-04,145.9649963,145.9649963,146.0549927,144.5399933,144.8099976,280600000
1986-11-05,146.1799927,146.1799927,146.6849976,145.5099945,145.9649963,334400000
1986-11-06,145.4100037,145.4100037,146.2299957,144.6399994,146.1849976,224600000
1986-11-07,144.9100037,144.9100037,145.4100037,144.3999939,145.4100037,198640000
1986-11-10,144.2949982,144.2949982,145.0500031,143.6999969,144.9100037,201600000
1986-11-11,145.3500061,145.3500061,145.4450073,144.2949982,144.2949982,194660000
1986-11-12,145.5800018,145.5800018,145.9149933,145.0200043,145.3500061,216000000
1986-11-13,143.4149933,143.4149933,145.6849976,143.4049988,145.5800018,230600000
1986-11-14,143.5050049,143.5050049,143.7799988,142.8600006,143.4149933,204400000
1986-11-17,143.1950073,143.1950073,144.0200043,142.1399994,143.5050049,182620000
1986-11-18,140.6600037,140.6600037,143.6750031,140.625,143.1950073,236800000
1986-11-19,139.5449982,139.5449982,140.6600037,138.9550018,140.6600037,222400000
1986-11-20,141.3099976,141.3099976,141.4349976,139.5449982,139.5449982,229000000
1986-11-21,142.8999939,142.8999939,143.0500031,141.3099976,141.3099976,213600000
1986-11-24,144.4949951,144.4949951,144.6349945,142.7700043,142.8999939,193720000
1986-11-25,145.7700043,145.7700043,145.7700043,144.3450012,144.4949951,227600000
1986-11-26,146.8699951,146.8699951,146.9499969,145.5850067,145.7700043,212000000
1986-11-28,147.9400024,147.9400024,147.9600067,146.8699951,146.8699951,123900000
1986-12-01,146.8549957,146.8549957,147.9400024,145.6300049,147.9400024,195660000
1986-12-02,148.8650055,148.8650055,148.9900055,146.8549957,146.8549957,261800000
1986-12-03,150.0800018,150.0800018,150.7149963,148.8650055,148.8650055,268800000
1986-12-04,149.9799957,149.9799957,150.8500061,149.8399963,150.0850067,256000000
1986-12-05,149.0449982,149.0449982,150.375,148.6950073,149.9799957,266600000
1986-12-08,147.8450012,147.8450012,149.0449982,146.8500061,149.0449982,221200000
1986-12-09,146.8650055,146.8650055,147.8549957,146.8150024,147.8450012,232600000
1986-12-10,146.9550018,146.9550018,147.3249969,146.3999939,146.8650055,230400000
1986-12-11,146.0800018,146.0800018,147.3950043,145.6300049,146.9550018,247600000
1986-12-12,144.9799957,144.9799957,146.0749969,144.75,146.0749969,216800000
1986-12-15,144.0749969,144.0749969,144.9799957,142.8450012,144.9799957,230600000
1986-12-16,144.4900055,144.4900055,144.5950012,143.6100006,144.0749969,284600000
